"par","family","link","prior_type","prior_dist","reads_response","anchor_of_mean","anchor_of_mode","sd_over_y_range_min","sd_over_y_range_max","p_truth_min","p_truth_max","cells_outside_95","n_cells","example_prior","lb","ub","jss_specification"
"bot","negbinomial","identity","uninformative","gamma",TRUE,"y_q25","y_q10",0.038344140917951,0.193780929796599,0.0709546394912069,0.566575076800202,0,15,"gamma(2, 0.249376558603491)",0,NA,"gamma shape 2, mean at q25 of response"
"bot","negbinomial","log","uninformative","normal",TRUE,"y_q10","y_q10",0.382718197071542,0.72646257558382,0.330026636522905,0.575091131605961,0,15,"normal(1.10185904476698, 3.60419295125299)",NA,NA,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
"bot","poisson","identity","uninformative","gamma",TRUE,"y_q25","y_q10",0.0708285292488524,0.430534638280941,0.0391366018551233,0.495458272676365,0,15,"gamma(2, 0.275103163686382)",0,NA,"gamma shape 2, mean at q25 of response"
"bot","poisson","log","uninformative","normal",TRUE,"y_q10","y_q10",0.404947754734859,0.851202702062859,0.194547279389572,0.538126529288853,0,15,"normal(1.38629436111989, 2.33133357053654)",NA,NA,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
"bot","zero_inflated_beta","identity","uninformative","beta",FALSE,"fixed","fixed",0.160576069418329,0.167147460190482,0.032773828125,0.032773828125,0,15,"beta(2, 5)",0,1,"fixed beta(2, 5)"
"bot","zero_inflated_beta","logit","uninformative","beta",FALSE,"fixed","fixed",0.160897231021259,0.166721638531417,0,0,15,15,"beta(2, 5)",0,1,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
"bot","zero_inflated_negbinomial","identity","uninformative","gamma",TRUE,"none (fixed prior)","y_q25",0.0429496977648583,0.184469441917321,0.0899015015999515,0.553909982956153,0,15,"gamma(2, 0.272125672583339)",0,NA,"gamma shape 2, mean at q25 of response"
"bot","zero_inflated_negbinomial","log","uninformative","normal",TRUE,"y_min","y_min",0.736617370684795,0.997223515519156,0.742598047888935,0.818409782295205,0,15,"normal(-4.60517018598809, 8.2210850397956)",NA,NA,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
"bot","zero_inflated_poisson","identity","uninformative","gamma",TRUE,"none (fixed prior)","y_q25",0.0853197710507166,0.411664711519878,0.038881581353768,0.463270846995154,0,15,"gamma(2, 0.312744331508991)",0,NA,"gamma shape 2, mean at q25 of response"
"bot","zero_inflated_poisson","log","uninformative","normal",TRUE,"y_min","y_min",0.79515985346961,1.06514732896067,0.740481455139862,0.818431156683876,0,15,"normal(-4.60517018598809, 6.97762205788454)",NA,NA,"normal, mean at q10 of response on link scale, sd 2.5 * sd(y)"
"top","bernoulli","identity","regularizing","beta",FALSE,"fixed","fixed",0.143719051581219,0.143719051581219,0.7737809375,0.7737809375,0,15,"beta(5, 1)",0,1,"not described by JSS"
"top","bernoulli","logit","regularizing","normal",TRUE,"y_q75","y_q75",0.375533808099405,0.503600092943849,0.316223498350625,0.360674384357689,0,15,"normal(4.59511985013459, 4.62820556723181)",NA,NA,"not described by JSS"
"top","Beta","identity","regularizing","beta",FALSE,"fixed","fixed",0.142582052597356,0.146619086474324,0.59049,0.59049,0,15,"beta(5, 1)",0,1,"not described by JSS"
"top","Beta","logit","regularizing","normal",TRUE,"y_max","y_max",0.203546499556374,0.312552911108358,0.0572350632384357,0.257249384878882,0,15,"normal(4.43859727845778, 2.58151649363275)",NA,NA,"not described by JSS"
"top","beta_binomial","identity","regularizing","beta",FALSE,"fixed","fixed",0.141000007211963,0.141000007211963,0.7737809375,0.7737809375,0,15,"beta(5, 1)",0,1,"not described by JSS"
"top","beta_binomial","logit","regularizing","normal",TRUE,"y_q90","y_q90",0.232055671326742,0.316944637344881,0.0681510821138842,0.166920559506228,0,15,"normal(7.60040233450051, 4.40070155319172)",NA,NA,"not described by JSS"
"top","binomial","identity","regularizing","beta",FALSE,"fixed","fixed",0.141000007211963,0.14835075561322,0.7737809375,0.7737809375,0,15,"beta(5, 1)",0,1,"not described by JSS"
"top","binomial","logit","regularizing","normal",TRUE,"y_q90","y_q90",0.232132343330546,0.339656535480624,0.0608682919177086,0.163306244787007,0,15,"normal(7.60040233450051, 4.64234521457779)",NA,NA,"not described by JSS"
"top","Gamma","identity","regularizing","gamma",TRUE,"y_max","y_q90",0.486510373701484,0.514284261434655,0.134704931646689,0.338824661127769,0,15,"gamma(5, 0.369622506206158)",0,NA,"not described by JSS"
"top","Gamma","log","regularizing","normal",TRUE,"y_max","y_max",0.20925108468728,0.333864971867907,0.180527405875092,0.392493216628768,0,15,"normal(2.66016032822732, 0.739072204535124)",NA,NA,"not described by JSS"
"top","gaussian","identity","regularizing","normal",TRUE,"y_max","y_max",0.238109092558401,0.375631669538804,0.197435596454841,0.404848427881263,0,15,"normal(10.8824513858884, 3.63701423837874)",NA,NA,"not described by JSS"
"top","gaussian","log","regularizing","normal",TRUE,"y_max","y_max",0.194091081645687,0.33185902258317,0.356361696401029,0.450955829413237,0,15,"normal(2.42583638932215, 0.755870903830715)",NA,NA,"not described by JSS"
"top","hurdle_gamma","identity","regularizing","gamma",TRUE,"y_max","y_q90",0.480987141519314,0.512706611262657,0.159251493162594,0.345918629350227,0,15,"gamma(5, 0.365523556792044)",0,NA,"not described by JSS"
"top","hurdle_gamma","log","regularizing","gamma",TRUE,"y_max","y_q90",0.480275038619485,0.523659111968596,0.000704860703799941,0.00240423894987403,15,15,"gamma(5, 0.337609459788003)",0,NA,"not described by JSS"
"top","negbinomial","identity","regularizing","gamma",TRUE,"y_max","y_q90",0.447213595499958,0.471387303364821,0.0167491016088938,0.182235094426008,2,15,"gamma(5, 0.0364963503649635)",0,NA,"not described by JSS"
"top","negbinomial","log","regularizing","normal",TRUE,"y_max","y_max",0.144489396672544,0.253901564877776,0.101602133016922,0.383065287338429,0,15,"normal(4.07753744390572, 1.30667674425008)",NA,NA,"not described by JSS"
"top","poisson","identity","regularizing","gamma",TRUE,"y_max","y_q90",0.455495328749957,0.482289171617602,0.264826311572115,0.341136829298882,0,15,"gamma(5, 0.0943396226415094)",0,NA,"not described by JSS"
"top","poisson","log","regularizing","normal",TRUE,"y_max","y_max",0.163058442435922,0.325750464287645,0.260451807874352,0.42041692258613,0,15,"normal(3.95124371858143, 0.988095604120017)",NA,NA,"not described by JSS"
"top","zero_inflated_beta","identity","regularizing","beta",FALSE,"fixed","fixed",0.142988980513185,0.147290155507451,0.59049,0.59049,0,15,"beta(5, 1)",0,1,"not described by JSS"
"top","zero_inflated_beta","logit","regularizing","beta",FALSE,"fixed","fixed",0.142106805692531,0.147422836809812,1,1,15,15,"beta(5, 1)",0,1,"not described by JSS"
"top","zero_inflated_negbinomial","identity","regularizing","gamma",TRUE,"y_max","y_q90",0.447213595499958,0.447213595499958,0.0365370778575623,0.174951352333741,0,15,"gamma(5, 0.0515463917525773)",0,NA,"not described by JSS"
"top","zero_inflated_negbinomial","log","regularizing","normal",TRUE,"y_max","y_max",0.303352387350811,0.401765933509488,0.352779704400989,0.449227612116698,0,15,"normal(4.49980967033027, 2.99193381235945)",NA,NA,"not described by JSS"
"top","zero_inflated_poisson","identity","regularizing","gamma",TRUE,"y_max","y_q75",0.447213595499957,0.447213595499959,0.253930317018411,0.457320025897793,0,15,"gamma(5, 0.0980392156862745)",0,NA,"not described by JSS"
"top","zero_inflated_poisson","log","regularizing","normal",TRUE,"y_max","y_max",0.289331466905194,0.440944198242963,0.432271290741374,0.472000499272082,0,15,"normal(4.00733318523247, 2.64156508415623)",NA,NA,"not described by JSS"
"top","bernoulli","identity","uninformative","beta",FALSE,"fixed","fixed",0.162962086776844,0.162962086776844,0.967226171875,0.967226171875,0,15,"beta(5, 2)",0,1,"fixed beta(5, 2)"
"top","bernoulli","logit","uninformative","normal",TRUE,"y_q75","y_q75",0.82218652141146,1.25957868413945,0.413536536660317,0.443304157167171,0,15,"normal(4.59511985013459, 11.5758300285912)",NA,NA,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
"top","Beta","identity","uninformative","beta",FALSE,"fixed","fixed",0.161241214903192,0.167111553539679,0.885735,0.885735,0,15,"beta(5, 2)",0,1,"fixed beta(5, 2)"
"top","Beta","logit","uninformative","normal",TRUE,"y_q90","y_q90",0.514700096999943,0.73203192970228,0.391929025186619,0.475610199502669,0,15,"normal(3.07375876399878, 6.45836070255313)",NA,NA,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
"top","beta_binomial","identity","uninformative","beta",FALSE,"fixed","fixed",0.1598789802605,0.1598789802605,0.967226171875,0.967226171875,0,15,"beta(5, 2)",0,1,"fixed beta(5, 2)"
"top","beta_binomial","logit","uninformative","normal",TRUE,"y_q90","y_q90",0.528712072522619,0.809379094948382,0.28118428496682,0.410279864497843,0,15,"normal(7.60040233450051, 11.5361694304489)",NA,NA,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
"top","binomial","identity","uninformative","beta",FALSE,"fixed","fixed",0.1598789802605,0.1598789802605,0.967226171875,0.967226171875,0,15,"beta(5, 2)",0,1,"fixed beta(5, 2)"
"top","binomial","logit","uninformative","normal",TRUE,"y_q90","y_q90",0.566863639656385,0.767969469984997,0.285638320030448,0.345005445117264,0,15,"normal(7.60040233450051, 10.3825732612728)",NA,NA,"normal, mean at q90 of response on link scale, sd 2.5 * sd(y)"
