"dataset","arm","spec","erc50","erc50_lo","erc50_hi","nsec","max_rhat","divergent"
6,"B2","homosced",4.21759430690063,3.18169395081977,5.5679644139346,3.13407759662345,1.00760897548847,2
6,"B3","homosced",4.34708185141074,3.90312455594751,4.84699626432297,2.04141237406587,1.00409287835763,0
6,"C","homosced",4.71704626429676,4.23563007202882,5.21649822169288,1.84370118998997,1.00292401273955,0
6,"D","homosced",4.69670627531998,4.09693601190002,5.28867952531548,1.87095153232711,1.0026210515377,0
7,"A","disp",5.29049110427009,4.82757313264646,5.78994306166622,2.00984944711834,1.00285006948995,0
7,"B1","disp",4.95752313267267,4.47656939592084,5.5124697520017,2.68506200411472,1.00780570967894,0
7,"B2","disp",5.36448398684729,4.36558007205504,6.77034875581417,2.1358309340656,1.00554620801241,0
7,"B3","disp",4.90202847073977,4.45807117527654,5.38298220749159,2.85910425164158,1.00309156483605,0
7,"C","disp",5.12400711847138,4.53206405785375,5.77144484102191,2.10153087946248,1.00226607706951,0
7,"D","disp",5.20851023343834,4.59274609632718,6.20033032571381,2.09509174680212,1.00308842804329,0
7,"A","homosced",5.40148042813589,4.95752313267267,5.90093238553202,2.12848380035416,1.00246135573346,0
7,"B1","homosced",4.93902491202837,4.51356583720945,5.4204411042963,2.81585058570281,1.00319725114159,0
7,"B2","homosced",4.92052669138407,3.94012099723611,5.82693950295482,3.40752707494869,1.00569340894949,1
7,"B3","homosced",4.90202847073977,4.49460516104904,5.32748754555869,2.90854012322949,1.00562260617034,0
7,"C","homosced",5.12400711847138,4.60605694043095,5.69745195844471,2.32129724799483,1.00833840437258,0
7,"D","homosced",5.15253167551914,4.72869402270237,5.60056006229385,2.32946110105866,1.00281987931119,0
8,"A","disp",4.21759430690063,3.77363701143741,4.69854804365246,1.51989286498212,1.00771192369706,0
8,"B1","disp",4.10660498303482,3.7181423495045,4.60605694043095,1.69503417122976,1.00442228720121,0
8,"B2","disp",4.34708185141074,3.51466192241719,5.5124697520017,1.59266902200568,1.00234056479477,0
8,"B3","disp",4.03261210045762,3.6441494669273,4.49553007208125,1.8057614058457,1.00197572268733,0
8,"C","disp",4.21759430690063,3.7366405701488,4.68004982300816,1.54260016205453,1.00405941085035,0
8,"D","disp",4.54052595647053,3.77590650782124,5.26835958972089,1.46561438086956,1.00247938486796,0
8,"A","homosced",4.23609252754493,3.7551387907931,4.77300338174577,1.81304651387603,1.00512757646494,0
8,"B1","homosced",4.08810676239052,3.6996441288602,4.55056227849805,1.74350471627385,1.00115623026315,0
8,"B2","homosced",3.99561565916902,3.07070462695397,5.25349466298149,2.99184302064567,1.01528506483695,8
8,"B3","homosced",4.01411387981332,3.6441494669273,4.43957295463224,1.8375112194588,1.00406934894258,0
8,"C","homosced",4.32858363076644,3.94012099723611,4.73554448494106,1.60414356592536,1.00200663047463,0
8,"D","homosced",4.474837000401,3.93881511887367,5.17902260946633,1.54023960392966,1.00630552230343,0
9,"A","disp",4.25459074818923,3.82913167337031,4.69854804365246,1.54851557330618,1.00379537955902,0
9,"B1","disp",3.86612811465891,3.51466192241719,4.25459074818923,1.85941089561534,1.00219764038971,0
9,"B2","disp",4.27308896883353,3.51466192241719,5.32748754555869,1.78225641471519,1.00342756340441,0
9,"B3","disp",3.84762989401461,3.53316014306149,4.23609252754493,1.87441791630166,1.00241440662053,0
9,"C","disp",4.10660498303482,3.625651246283,4.66155160236385,1.64897997338136,1.00394419512574,0
9,"D","disp",4.04895439082642,3.45718106425206,4.68870933847438,1.72365275335623,1.00591144069485,0
9,"A","homosced",4.47656939592084,4.06960854174622,4.90202847073977,1.57872732069101,1.0043852850431,0
9,"B1","homosced",3.86612811465891,3.55165836370579,4.25459074818923,1.86012544851327,1.00454405467262,0
9,"B2","homosced",3.79213523208171,2.99671174437676,4.90202847073977,2.69524590198417,1.00471616852453,1
9,"B3","homosced",3.84762989401461,3.53316014306149,4.21759430690063,1.87386544583906,1.00246627061131,0
9,"C","homosced",4.01411387981332,3.6441494669273,4.47656939592084,1.73242236378544,1.0027724795524,0
9,"D","homosced",3.99297583290722,3.52915349586246,4.50477979102559,1.77364536629714,1.00632942561031,0
10,"A","disp",5.32748754555869,0.018498220644301,6.06741637133073,2.25092820394538,1.53984488226361,0
10,"B1","disp",5.30898932491439,4.73508202942495,6.04891815068643,1.99833454739588,1.00272849626268,0
10,"B2","disp",6.01192170939783,4.73554448494106,7.91723843576083,2.03418423013063,1.005993410901,0
10,"B3","disp",5.16100355975998,4.60605694043095,5.86393594424342,2.10644913897099,1.00335615966811,0
10,"C","disp",5.4754733107131,4.84653380880686,6.17840569519654,1.86253201330798,1.00440898758451,0
10,"D","disp",5.51674373986964,4.82338091996733,6.31958489975652,1.87108353401335,1.00543532563735,0
10,"A","homosced",5.64195729651181,5.03105355973377,6.27089679841804,2.64479253007588,1.00128371196547,0
10,"B1","homosced",5.30898932491439,4.77254092622966,5.95642704746493,2.07595839731794,1.00379937387677,0
10,"B2","homosced",4.90202847073977,3.6996441288602,6.21540213648514,3.29118232228428,1.00474887376479,0
10,"B3","homosced",5.16100355975998,4.66155160236385,5.71595017908901,2.19245170690176,1.00605441392584,0
10,"C","homosced",5.62345907586751,5.03151601524987,6.19690391584084,1.84095216429726,1.00318533801584,0
10,"D","homosced",5.53638464410792,4.73669095954797,6.29609364443986,1.96763792338446,1.00231735415447,0
11,"A","disp",4.71704626429676,4.25459074818923,5.16146601527609,2.092293489416,1.00427089457919,0
11,"B1","disp",4.32858363076644,3.86612811465891,4.86503202945117,2.37976966729693,1.00416550679814,0
11,"B2","disp",4.71704626429676,3.84762989401461,5.90093238553202,2.26644030701939,1.00391418533427,1
11,"B3","disp",4.32858363076644,3.92162277659181,4.79103914687396,2.39708179639497,1.00256020929745,0
11,"C","disp",4.56906049914235,4.03261210045762,5.12400711847138,2.19232984670656,1.00206679550938,0
11,"D","disp",4.48078898048879,3.65710448539205,5.40843365457833,2.28072010036516,1.00567093578416,6
11,"A","homosced",4.90202847073977,4.47656939592084,5.32748754555869,2.14925790141188,1.00233033247575,0
11,"B1","homosced",4.40257651334364,4.01411387981332,4.88353025009547,2.39390757532538,1.00340746815436,0
11,"B2","homosced",4.15285053464558,3.34817793661848,5.36448398684729,3.05010791061905,1.01138380791234,7
11,"B3","homosced",4.38407829269934,4.01411387981332,4.80953736751826,2.41066598595163,1.0028186511432,0
11,"C","homosced",4.75404270558536,4.25459074818923,5.27199288362579,2.17028408361483,1.00428791532114,0
11,"D","homosced",4.49678285417999,3.89701259076003,5.17652248605594,2.34397234387883,1.00698827730143,0
12,"A","disp",4.53206405785375,4.06960854174622,5.01301779460557,1.74670834361643,1.00395205591778,0
12,"B1","disp",4.36558007205504,3.95861921788042,4.82803558816256,1.78780924939081,1.00176479079333,0
